Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,5,10,262144,161.01,62.23,200.38,1000
Broadcast,5,10,524288,305.39,109.27,388.57,1000
Broadcast,5,10,1048576,579.97,201.17,744.58,1000
Broadcast,1,14,1,1.41,0.24,2.26,1000
Broadcast,1,14,2,1.46,0.25,2.32,1000
Broadcast,1,14,4,1.41,0.22,2.25,1000
Broadcast,1,14,8,1.46,0.25,2.32,1000
Broadcast,1,14,16,1.65,0.51,2.53,1000
Broadcast,1,14,32,1.59,0.28,2.54,1000
Broadcast,1,14,64,1.52,0.27,2.38,1000
Broadcast,1,14,128,2.93,0.53,5.14,1000
Broadcast,1,14,256,2.94,0.51,5.13,1000
Broadcast,1,14,512,3.03,0.53,5.28,1000
Broadcast,1,14,1024,3.53,0.60,6.23,1000
Broadcast,1,14,2048,4.88,0.70,8.97,1000
Broadcast,1,14,4096,6.82,0.84,12.72,1000
Broadcast,1,14,8192,10.41,1.05,19.85,1000
Broadcast,1,14,16384,9.79,3.71,13.92,1000
Broadcast,1,14,32768,17.81,6.54,23.14,1000
Broadcast,1,14,65536,37.47,19.24,43.69,1000
Broadcast,1,14,131072,99.10,86.71,104.33,1000
Broadcast,1,14,262144,209.91,194.72,218.01,1000
Broadcast,1,14,524288,433.73,414.11,447.28,1000
Broadcast,1,14,1048576,829.41,746.60,858.62,1000
Broadcast,2,14,1,1.13,0.43,1.97,1000
Broadcast,2,14,2,1.14,0.44,1.98,1000
Broadcast,2,14,4,1.13,0.43,1.97,1000
Broadcast,2,14,8,1.19,0.48,2.05,1000
Broadcast,2,14,16,1.14,0.43,1.96,1000
Broadcast,2,14,32,1.25,0.45,2.13,1000
Broadcast,2,14,64,1.29,0.49,2.16,1000
Broadcast,2,14,128,1.80,0.53,2.79,1000
Broadcast,2,14,256,1.85,0.56,2.89,1000
Broadcast,2,14,512,1.88,0.52,3.02,1000
Broadcast,2,14,1024,2.06,0.50,3.33,1000
Broadcast,2,14,2048,2.78,0.66,4.97,1000
Broadcast,2,14,4096,3.80,0.80,6.71,1000
Broadcast,2,14,8192,6.03,1.14,10.93,1000
Broadcast,2,14,16384,11.98,6.60,16.76,1000
Broadcast,2,14,32768,20.43,12.13,27.60,1000
Broadcast,2,14,65536,37.70,24.56,52.13,1000
Broadcast,2,14,131072,74.36,53.37,104.90,1000
Broadcast,2,14,262144,163.15,116.92,227.37,1000
Broadcast,2,14,524288,329.19,205.84,441.84,1000
Broadcast,2,14,1048576,663.96,388.17,888.07,1000
Broadcast,3,14,1,2.34,0.21,4.27,1000
Broadcast,3,14,2,2.30,0.21,4.19,1000
Broadcast,3,14,4,2.29,0.21,4.17,1000
Broadcast,3,14,8,2.28,0.22,4.15,1000
Broadcast,3,14,16,2.25,0.22,4.12,1000
Broadcast,3,14,32,2.47,0.22,4.51,1000
Broadcast,3,14,64,2.59,0.23,4.69,1000
Broadcast,3,14,128,3.04,0.28,5.39,1000
Broadcast,3,14,256,3.15,0.28,5.65,1000
Broadcast,3,14,512,3.29,0.29,5.99,1000
Broadcast,3,14,1024,3.73,0.30,6.82,1000
Broadcast,3,14,2048,4.48,0.34,8.39,1000
Broadcast,3,14,4096,5.81,0.41,10.98,1000
Broadcast,3,14,8192,8.38,0.52,15.99,1000
Broadcast,3,14,16384,26.89,2.71,47.28,1000
