Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Reduce,4,10,65536,45.08,41.74,47.13,1000
Reduce,4,10,131072,90.57,84.92,93.82,1000
Reduce,4,10,262144,206.01,193.77,213.91,1000
Reduce,4,10,524288,631.38,576.71,673.04,1000
Reduce,4,10,1048576,1405.79,1278.11,1499.10,1000
Reduce,1,12,4,3.31,2.53,4.28,1000
Reduce,1,12,8,3.40,2.59,4.39,1000
Reduce,1,12,16,3.23,2.47,4.24,1000
Reduce,1,12,32,3.32,2.56,4.29,1000
Reduce,1,12,64,3.11,2.44,3.91,1000
Reduce,1,12,128,3.63,2.99,4.56,1000
Reduce,1,12,256,3.50,2.80,4.52,1000
Reduce,1,12,512,3.39,2.84,4.17,1000
Reduce,1,12,1024,4.16,3.48,4.94,1000
Reduce,1,12,2048,5.51,4.81,6.37,1000
Reduce,1,12,4096,8.37,7.44,9.34,1000
Reduce,1,12,8192,9.48,8.51,10.41,1000
Reduce,1,12,16384,13.76,12.14,15.03,1000
Reduce,1,12,32768,23.98,20.92,26.22,1000
Reduce,1,12,65536,42.34,36.83,45.32,1000
Reduce,1,12,131072,75.99,66.83,81.10,1000
Reduce,1,12,262144,191.87,166.10,205.60,1000
Reduce,1,12,524288,643.70,556.01,688.02,1000
Reduce,1,12,1048576,1475.17,1303.76,1561.53,1000
Reduce,2,12,4,3.47,2.61,4.45,1000
Reduce,2,12,8,3.49,2.71,4.56,1000
Reduce,2,12,16,3.36,2.63,4.35,1000
Reduce,2,12,32,3.45,2.69,4.31,1000
Reduce,2,12,64,3.05,2.31,3.89,1000
Reduce,2,12,128,3.98,3.29,4.89,1000
Reduce,2,12,256,3.46,2.74,4.30,1000
Reduce,2,12,512,3.49,2.86,4.27,1000
Reduce,2,12,1024,4.17,3.51,4.89,1000
Reduce,2,12,2048,5.58,4.89,6.40,1000
Reduce,2,12,4096,8.46,7.48,9.39,1000
Reduce,2,12,8192,9.39,8.48,10.30,1000
Reduce,2,12,16384,14.98,13.06,16.66,1000
Reduce,2,12,32768,23.66,20.70,25.86,1000
Reduce,2,12,65536,41.26,35.76,44.39,1000
Reduce,2,12,131072,75.72,65.99,81.18,1000
Reduce,2,12,262144,195.32,169.66,208.43,1000
Reduce,2,12,524288,640.41,553.11,684.58,1000
Reduce,2,12,1048576,1475.29,1304.17,1560.96,1000
Reduce,3,12,4,3.29,2.54,4.27,1000
Reduce,3,12,8,3.45,2.79,4.44,1000
Reduce,3,12,16,3.33,2.71,4.26,1000
Reduce,3,12,32,3.32,2.60,4.21,1000
Reduce,3,12,64,3.04,2.38,3.86,1000
Reduce,3,12,128,4.10,3.39,5.06,1000
Reduce,3,12,256,3.34,2.66,4.21,1000
Reduce,3,12,512,3.41,2.83,4.24,1000
Reduce,3,12,1024,4.18,3.56,4.97,1000
Reduce,3,12,2048,5.51,4.88,6.39,1000
Reduce,3,12,4096,8.32,7.42,9.34,1000
Reduce,3,12,8192,9.34,8.36,10.27,1000
Reduce,3,12,16384,13.59,12.02,14.85,1000
Reduce,3,12,32768,23.46,20.48,25.64,1000
Reduce,3,12,65536,42.51,36.96,45.60,1000
Reduce,3,12,131072,74.78,65.57,79.90,1000
Reduce,3,12,262144,191.37,164.60,205.31,1000
Reduce,3,12,524288,642.64,555.84,687.07,1000
Reduce,3,12,1048576,1466.12,1295.76,1550.63,1000
Reduce,4,12,4,3.29,2.55,4.21,1000
Reduce,4,12,8,3.35,2.61,4.33,1000
Reduce,4,12,16,3.40,2.59,4.46,1000
Reduce,4,12,32,3.49,2.59,4.56,1000
Reduce,4,12,64,3.07,2.35,3.88,1000
Reduce,4,12,128,3.89,3.20,4.83,1000
Reduce,4,12,256,3.60,2.87,4.60,1000
Reduce,4,12,512,3.53,2.92,4.30,1000
Reduce,4,12,1024,4.11,3.50,4.83,1000
Reduce,4,12,2048,5.59,4.94,6.39,1000
Reduce,4,12,4096,8.53,7.62,9.49,1000
