Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,3,6,128,1.22,0.16,2.01,1000
Broadcast,3,6,256,1.26,0.16,2.07,1000
Broadcast,3,6,512,1.43,0.16,2.39,1000
Broadcast,3,6,1024,1.75,0.19,2.95,1000
Broadcast,3,6,2048,2.31,0.24,4.00,1000
Broadcast,3,6,4096,3.44,0.38,6.01,1000
Broadcast,3,6,8192,5.56,0.69,9.74,1000
Broadcast,3,6,16384,14.89,3.87,22.48,1000
Broadcast,3,6,32768,22.74,6.25,33.71,1000
Broadcast,3,6,65536,36.29,10.32,53.50,1000
Broadcast,3,6,131072,64.68,18.98,94.79,1000
Broadcast,3,6,262144,119.93,35.46,175.68,1000
Broadcast,3,6,524288,231.79,67.53,340.01,1000
Broadcast,3,6,1048576,456.17,136.78,670.42,1000
Broadcast,5,6,1,0.54,0.20,0.73,1000
Broadcast,5,6,2,0.56,0.22,0.74,1000
Broadcast,5,6,4,0.54,0.20,0.72,1000
Broadcast,5,6,8,0.54,0.20,0.73,1000
Broadcast,5,6,16,0.58,0.20,0.79,1000
Broadcast,5,6,32,0.64,0.21,0.78,1000
Broadcast,5,6,64,0.62,0.20,0.80,1000
Broadcast,5,6,128,0.85,0.32,1.04,1000
Broadcast,5,6,256,0.89,0.33,1.06,1000
Broadcast,5,6,512,0.97,0.32,1.17,1000
Broadcast,5,6,1024,1.22,0.43,1.49,1000
Broadcast,5,6,2048,1.74,0.62,2.21,1000
Broadcast,5,6,4096,2.59,0.97,3.32,1000
Broadcast,5,6,8192,4.00,1.67,5.13,1000
Broadcast,5,6,16384,9.87,5.77,11.50,1000
Broadcast,5,6,32768,15.33,9.19,18.17,1000
Broadcast,5,6,65536,25.77,15.97,30.58,1000
Broadcast,5,6,131072,47.08,29.47,56.25,1000
Broadcast,5,6,262144,88.76,56.27,105.55,1000
Broadcast,5,6,524288,172.24,109.32,203.94,1000
Broadcast,5,6,1048576,334.79,210.95,396.65,1000
Broadcast,1,7,1,0.40,0.39,0.42,1000
Broadcast,1,7,2,0.42,0.41,0.44,1000
Broadcast,1,7,4,0.47,0.44,0.48,1000
Broadcast,1,7,8,0.41,0.40,0.44,1000
Broadcast,1,7,16,0.42,0.40,0.48,1000
Broadcast,1,7,32,0.52,0.46,0.59,1000
Broadcast,1,7,64,0.53,0.49,0.57,1000
Broadcast,1,7,128,0.91,0.59,1.16,1000
Broadcast,1,7,256,0.90,0.59,1.17,1000
Broadcast,1,7,512,1.00,0.66,1.29,1000
Broadcast,1,7,1024,1.29,0.78,1.73,1000
Broadcast,1,7,2048,1.76,0.98,2.46,1000
Broadcast,1,7,4096,2.92,1.48,4.19,1000
Broadcast,1,7,8192,4.38,2.11,6.41,1000
Broadcast,1,7,16384,8.50,6.44,10.07,1000
Broadcast,1,7,32768,14.30,11.14,16.20,1000
Broadcast,1,7,65536,27.08,24.16,29.34,1000
Broadcast,1,7,131072,52.22,49.50,54.83,1000
Broadcast,1,7,262144,102.70,99.66,105.62,1000
Broadcast,1,7,524288,204.88,200.49,208.26,1000
Broadcast,1,7,1048576,400.73,380.89,412.50,1000
Broadcast,2,7,1,0.50,0.30,0.69,1000
Broadcast,2,7,2,0.49,0.29,0.71,1000
Broadcast,2,7,4,0.50,0.32,0.70,1000
Broadcast,2,7,8,0.48,0.30,0.69,1000
Broadcast,2,7,16,0.50,0.31,0.72,1000
Broadcast,2,7,32,0.58,0.36,0.86,1000
Broadcast,2,7,64,0.57,0.36,0.83,1000
Broadcast,2,7,128,0.84,0.68,1.05,1000
Broadcast,2,7,256,0.87,0.70,1.09,1000
Broadcast,2,7,512,0.94,0.71,1.17,1000
Broadcast,2,7,1024,1.23,0.92,1.55,1000
Broadcast,2,7,2048,1.60,1.26,2.04,1000
Broadcast,2,7,4096,2.49,1.94,3.10,1000
Broadcast,2,7,8192,3.83,3.04,4.77,1000
Broadcast,2,7,16384,9.79,6.67,11.77,1000
Broadcast,2,7,32768,15.72,11.52,18.41,1000
Broadcast,2,7,65536,28.03,20.80,32.64,1000
Broadcast,2,7,131072,52.27,39.27,61.34,1000
Broadcast,2,7,262144,101.47,75.77,119.59,1000
Broadcast,2,7,524288,199.68,150.91,235.40,1000
Broadcast,2,7,1048576,383.22,283.07,453.81,1000
Broadcast,3,7,1,1.02,0.12,1.54,1000
Broadcast,3,7,2,1.07,0.12,1.67,1000
Broadcast,3,7,4,1.00,0.12,1.51,1000
Broadcast,3,7,8,1.01,0.11,1.51,1000
Broadcast,3,7,16,0.98,0.11,1.48,1000
Broadcast,3,7,32,1.29,0.13,2.06,1000
Broadcast,3,7,64,1.23,0.13,1.95,1000
Broadcast,3,7,128,1.54,0.17,2.56,1000
Broadcast,3,7,256,1.63,0.18,2.69,1000
Broadcast,3,7,512,1.74,0.17,2.95,1000
Broadcast,3,7,1024,2.12,0.22,3.62,1000
Broadcast,3,7,2048,2.80,0.24,4.88,1000
Broadcast,3,7,4096,4.17,0.42,7.31,1000
Broadcast,3,7,8192,6.74,0.73,11.89,1000
Broadcast,3,7,16384,17.47,3.93,27.24,1000
Broadcast,3,7,32768,25.97,6.27,40.00,1000
Broadcast,3,7,65536,41.47,10.39,63.53,1000
Broadcast,3,7,131072,73.67,18.94,112.49,1000
Broadcast,3,7,262144,137.09,34.97,209.33,1000
Broadcast,3,7,524288,270.02,68.49,411.43,1000
Broadcast,3,7,1048576,525.71,137.94,797.78,1000
Broadcast,5,7,1,0.61,0.21,0.79,1000
Broadcast,5,7,2,0.63,0.21,0.80,1000
Broadcast,5,7,4,0.60,0.21,0.78,1000
Broadcast,5,7,8,0.61,0.21,0.79,1000
Broadcast,5,7,16,0.62,0.21,0.81,1000
Broadcast,5,7,32,0.72,0.21,0.90,1000
