ntasks,global_data_size,parallel_time,serial_time
90,10000000,0.156012,2.046574
90,10000000,0.155676,2.038616
90,10000000,0.156621,2.041922
90,10000000,0.155390,2.037207
90,10000000,0.155651,2.039900
90,10000000,0.157471,2.128384
92,10000000,0.154860,2.041781
92,10000000,0.154753,2.035516
92,10000000,0.155841,2.033021
92,10000000,0.155502,2.050910
92,10000000,0.155833,2.033369
92,10000000,0.155969,2.036174
92,10000000,0.154840,2.104324
92,10000000,0.156298,2.030590
92,10000000,0.154815,2.132290
92,10000000,0.155667,2.034880
94,10000000,0.154982,2.158646
94,10000000,0.155733,2.034663
94,10000000,0.155392,2.067631
94,10000000,0.156030,2.043804
94,10000000,0.156350,2.094543
94,10000000,0.154999,2.078518
94,10000000,0.156196,2.034609
94,10000000,0.155805,2.038491
94,10000000,0.156211,2.193378
94,10000000,0.154385,2.034820
96,10000000,0.155463,2.072331
96,10000000,0.155641,2.040158
96,10000000,0.155626,2.061771
96,10000000,0.157657,2.071366
96,10000000,0.154513,2.038525
96,10000000,0.155473,2.041161
96,10000000,0.155489,2.040819
96,10000000,0.154411,2.059646
96,10000000,0.154936,2.044213
96,10000000,0.155926,2.082197
98,10000000,0.157222,2.041116
98,10000000,0.155719,2.036847
98,10000000,0.156192,2.037871
98,10000000,0.154605,2.036603
98,10000000,0.154598,2.077549
98,10000000,0.157810,2.039324
98,10000000,0.157173,2.038946
98,10000000,0.160398,2.059039
98,10000000,0.155045,2.095899
98,10000000,0.155852,2.038799
100,10000000,0.159059,2.151866
100,10000000,0.156960,2.035254
100,10000000,0.158374,2.056772
100,10000000,0.158516,2.041957
100,10000000,0.157115,2.037540
100,10000000,0.157318,2.038693
100,10000000,0.159462,2.037900
100,10000000,0.158130,2.154440
100,10000000,0.158533,2.042083
100,10000000,0.158026,2.113681
102,10000000,0.156021,2.037120
102,10000000,0.157588,2.053662
102,10000000,0.155288,2.074080
102,10000000,0.192028,2.151699
102,10000000,0.157476,2.039911
102,10000000,0.155660,2.101178
102,10000000,0.154702,2.037071
102,10000000,0.157669,2.029410
102,10000000,0.155288,2.066867
102,10000000,0.157452,2.034020
104,10000000,0.155922,2.077972
104,10000000,0.155297,2.047421
104,10000000,0.155036,2.039455
104,10000000,0.158212,2.043574
104,10000000,0.155679,2.043705
104,10000000,0.156712,2.037579
104,10000000,0.155853,2.038070
104,10000000,0.155941,2.033699
104,10000000,0.157592,2.057219
104,10000000,0.156843,2.062230
106,10000000,0.157870,2.089312
106,10000000,0.156581,2.047449
106,10000000,0.158384,2.036295
106,10000000,0.158063,2.037101
106,10000000,0.158805,2.123425
106,10000000,0.160179,2.037754
106,10000000,0.156608,2.036854
106,10000000,0.158633,2.040831
106,10000000,0.158116,2.115084
106,10000000,0.156704,2.038313
108,10000000,0.162298,2.036034
108,10000000,0.155287,2.039160
108,10000000,0.160855,2.043809
108,10000000,0.156275,2.039104
108,10000000,0.157535,2.038500
108,10000000,0.156198,2.036234
108,10000000,0.155725,2.039166
108,10000000,0.158401,2.039137
