Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,2,5,32768,14.89,9.91,17.12,1000
Broadcast,2,5,65536,28.17,22.33,30.64,1000
Broadcast,2,5,131072,55.31,50.82,57.76,1000
Broadcast,2,5,262144,109.01,105.65,111.80,1000
Broadcast,2,5,524288,225.18,222.57,230.07,1000
Broadcast,2,5,1048576,430.00,417.60,450.54,1000
Broadcast,3,5,1,0.98,0.15,1.56,1000
Broadcast,3,5,2,0.99,0.15,1.57,1000
Broadcast,3,5,4,0.99,0.15,1.56,1000
Broadcast,3,5,8,1.00,0.15,1.58,1000
Broadcast,3,5,16,0.99,0.14,1.57,1000
Broadcast,3,5,32,1.29,0.16,2.29,1000
Broadcast,3,5,64,1.26,0.15,2.21,1000
Broadcast,3,5,128,1.72,0.18,3.18,1000
Broadcast,3,5,256,1.78,0.18,3.23,1000
Broadcast,3,5,512,1.97,0.18,3.67,1000
Broadcast,3,5,1024,2.32,0.19,4.29,1000
Broadcast,3,5,2048,3.00,0.24,5.66,1000
Broadcast,3,5,4096,4.34,0.37,8.01,1000
Broadcast,3,5,8192,6.97,0.66,12.70,1000
Broadcast,3,5,16384,18.09,6.18,25.73,1000
Broadcast,3,5,32768,29.41,10.47,41.43,1000
Broadcast,3,5,65536,50.83,18.45,71.62,1000
Broadcast,3,5,131072,94.81,35.78,132.56,1000
Broadcast,3,5,262144,182.61,69.34,255.44,1000
Broadcast,3,5,524288,346.36,124.22,489.93,1000
Broadcast,3,5,1048576,683.76,251.77,963.10,1000
Broadcast,5,5,1,0.64,0.19,0.87,1000
Broadcast,5,5,2,0.65,0.17,0.92,1000
Broadcast,5,5,4,0.63,0.17,0.84,1000
Broadcast,5,5,8,0.63,0.17,0.87,1000
Broadcast,5,5,16,0.62,0.17,0.84,1000
Broadcast,5,5,32,0.93,0.20,1.43,1000
Broadcast,5,5,64,0.90,0.18,1.35,1000
Broadcast,5,5,128,1.30,0.37,2.21,1000
Broadcast,5,5,256,1.37,0.40,2.29,1000
Broadcast,5,5,512,1.60,0.53,2.67,1000
Broadcast,5,5,1024,1.92,0.65,3.16,1000
Broadcast,5,5,2048,2.53,0.91,4.27,1000
Broadcast,5,5,4096,3.73,1.56,6.01,1000
Broadcast,5,5,8192,6.00,2.71,9.48,1000
Broadcast,5,5,16384,13.93,9.47,15.45,1000
Broadcast,5,5,32768,22.30,15.50,24.75,1000
Broadcast,5,5,65536,39.65,28.22,44.30,1000
Broadcast,5,5,131072,74.55,54.42,83.54,1000
Broadcast,5,5,262144,141.52,103.75,159.38,1000
Broadcast,5,5,524288,276.35,202.07,311.81,1000
Broadcast,5,5,1048576,509.25,360.59,582.03,1000
Broadcast,1,6,1,0.45,0.43,0.46,1000
Broadcast,1,6,2,0.46,0.43,0.49,1000
Broadcast,1,6,4,0.46,0.45,0.47,1000
Broadcast,1,6,8,0.47,0.44,0.49,1000
Broadcast,1,6,16,0.45,0.44,0.47,1000
Broadcast,1,6,32,0.79,0.51,0.98,1000
Broadcast,1,6,64,0.79,0.50,0.97,1000
Broadcast,1,6,128,1.31,0.59,1.58,1000
Broadcast,1,6,256,1.38,0.62,1.68,1000
Broadcast,1,6,512,1.56,0.69,1.95,1000
Broadcast,1,6,1024,2.02,0.81,2.52,1000
Broadcast,1,6,2048,2.84,1.01,3.67,1000
Broadcast,1,6,4096,4.22,1.37,5.57,1000
Broadcast,1,6,8192,6.48,2.09,8.54,1000
Broadcast,1,6,16384,9.12,4.98,11.58,1000
Broadcast,1,6,32768,16.59,9.00,19.90,1000
Broadcast,1,6,65536,31.63,20.96,35.46,1000
Broadcast,1,6,131072,62.87,52.51,67.12,1000
Broadcast,1,6,262144,126.81,117.37,132.21,1000
Broadcast,1,6,524288,254.79,244.01,262.48,1000
Broadcast,1,6,1048576,487.85,455.40,511.44,1000
Broadcast,2,6,1,0.62,0.49,0.90,1000
Broadcast,2,6,2,0.60,0.48,0.83,1000
Broadcast,2,6,4,0.61,0.49,0.84,1000
Broadcast,2,6,8,0.61,0.48,0.84,1000
Broadcast,2,6,16,0.62,0.50,0.84,1000
Broadcast,2,6,32,0.86,0.69,1.21,1000
Broadcast,2,6,64,0.79,0.65,1.11,1000
Broadcast,2,6,128,1.30,1.08,1.69,1000
Broadcast,2,6,256,1.32,1.10,1.72,1000
