Type,Algorithm,NP,Size,Avg_Latency,Min_Latency,Max_Latency,Iterations
Broadcast,1,7,65536,23.34,16.88,25.73,1000
Broadcast,1,7,131072,45.44,37.92,48.34,1000
Broadcast,1,7,262144,89.62,81.46,93.08,1000
Broadcast,1,7,524288,183.29,178.53,186.82,1000
Broadcast,1,7,1048576,366.63,346.01,376.78,1000
Broadcast,2,7,1,0.42,0.23,0.67,1000
Broadcast,2,7,2,0.39,0.24,0.58,1000
Broadcast,2,7,4,0.39,0.23,0.57,1000
Broadcast,2,7,8,0.39,0.24,0.57,1000
Broadcast,2,7,16,0.39,0.24,0.56,1000
Broadcast,2,7,32,0.47,0.27,0.70,1000
Broadcast,2,7,64,0.50,0.31,0.71,1000
Broadcast,2,7,128,0.68,0.52,0.86,1000
Broadcast,2,7,256,0.71,0.56,0.90,1000
Broadcast,2,7,512,0.79,0.58,1.02,1000
Broadcast,2,7,1024,1.10,0.81,1.40,1000
Broadcast,2,7,2048,1.43,1.11,1.88,1000
Broadcast,2,7,4096,2.34,1.75,3.04,1000
Broadcast,2,7,8192,3.64,2.69,4.76,1000
Broadcast,2,7,16384,8.14,5.94,10.50,1000
Broadcast,2,7,32768,14.01,10.43,16.58,1000
Broadcast,2,7,65536,24.94,18.68,29.28,1000
Broadcast,2,7,131072,46.98,34.93,55.28,1000
Broadcast,2,7,262144,91.09,67.59,107.84,1000
Broadcast,2,7,524288,181.76,134.22,218.09,1000
Broadcast,2,7,1048576,366.68,266.17,434.88,1000
Broadcast,3,7,1,0.89,0.10,1.33,1000
Broadcast,3,7,2,0.91,0.11,1.38,1000
Broadcast,3,7,4,0.89,0.10,1.34,1000
Broadcast,3,7,8,0.90,0.11,1.36,1000
Broadcast,3,7,16,0.90,0.10,1.36,1000
Broadcast,3,7,32,1.11,0.10,1.79,1000
Broadcast,3,7,64,1.11,0.11,1.79,1000
Broadcast,3,7,128,1.39,0.13,2.32,1000
Broadcast,3,7,256,1.46,0.14,2.45,1000
Broadcast,3,7,512,1.59,0.15,2.70,1000
Broadcast,3,7,1024,1.90,0.17,3.27,1000
Broadcast,3,7,2048,2.52,0.20,4.41,1000
Broadcast,3,7,4096,3.73,0.33,6.63,1000
Broadcast,3,7,8192,6.00,0.60,10.71,1000
Broadcast,3,7,16384,16.42,3.48,25.63,1000
Broadcast,3,7,32768,24.30,5.49,37.58,1000
Broadcast,3,7,65536,39.90,9.11,61.61,1000
Broadcast,3,7,131072,71.69,16.72,111.10,1000
Broadcast,3,7,262144,134.14,30.82,208.11,1000
Broadcast,3,7,524288,259.74,59.36,403.61,1000
Broadcast,3,7,1048576,518.68,123.86,800.77,1000
Broadcast,5,7,1,0.49,0.15,0.66,1000
Broadcast,5,7,2,0.51,0.16,0.67,1000
Broadcast,5,7,4,0.57,0.16,0.77,1000
Broadcast,5,7,8,0.49,0.15,0.65,1000
Broadcast,5,7,16,0.49,0.15,0.66,1000
Broadcast,5,7,32,0.57,0.15,0.70,1000
Broadcast,5,7,64,0.59,0.17,0.75,1000
Broadcast,5,7,128,0.88,0.25,1.10,1000
Broadcast,5,7,256,0.91,0.28,1.12,1000
Broadcast,5,7,512,0.96,0.26,1.16,1000
Broadcast,5,7,1024,1.22,0.37,1.52,1000
Broadcast,5,7,2048,1.66,0.53,2.17,1000
Broadcast,5,7,4096,2.42,0.80,3.25,1000
Broadcast,5,7,8192,3.69,1.36,5.07,1000
Broadcast,5,7,16384,9.36,5.19,10.41,1000
Broadcast,5,7,32768,15.09,8.52,16.80,1000
Broadcast,5,7,65536,26.41,15.10,28.93,1000
